log,purpose,exists,report_use
sift_validation_100m_hover_v2.csv,Kalman validation,True,Deneysel entegrasyon/filtreleme; ana SIFT doğruluk başarısı olarak sunulmaz.
raw_baseline_validation_100m_hover_v2.csv,Raw/Kalman baseline metrics,True,Deneysel entegrasyon/filtreleme; ana SIFT doğruluk başarısı olarak sunulmaz.
kalman_tuning_validation_100m_hover_v2.csv,Kalman tuning grid,True,Deneysel entegrasyon/filtreleme; ana SIFT doğruluk başarısı olarak sunulmaz.
gazebo_truth_vpe4hz.log,Gazebo truth VPE kontrollü MAVLink baseline,True,External navigation hattının kontrollü denemesi; SIFT başarısı değildir.
gazebo_truth_vpe4hz_delay06.log,Gazebo truth VPE kontrollü MAVLink baseline,True,External navigation hattının kontrollü denemesi; SIFT başarısı değildir.
gazebo_truth_vpe4hz_delay06_noise025.log,Gazebo truth VPE kontrollü MAVLink baseline,True,External navigation hattının kontrollü denemesi; SIFT başarısı değildir.
gazebo_truth_vpe4hz_delay06_noise025_viso10_thresh08.log,Gazebo truth VPE kontrollü MAVLink baseline,True,External navigation hattının kontrollü denemesi; SIFT başarısı değildir.
gazebo_truth_vpe4hz_delay06_noise025_viso8.log,Gazebo truth VPE kontrollü MAVLink baseline,True,External navigation hattının kontrollü denemesi; SIFT başarısı değildir.
gazebo_truth_vpe4hz_delay06_noise025_viso8_thresh08.log,Gazebo truth VPE kontrollü MAVLink baseline,True,External navigation hattının kontrollü denemesi; SIFT başarısı değildir.
sift_src2_hover_test_01_match.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_01_validation.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_01_vision_tx.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_02_match.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_02_validation.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_02_vision_tx.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_03_reset_match.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_03_reset_validation.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_03_reset_vision_tx.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_04_motion_reset_match.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_04_motion_reset_validation.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_04_motion_reset_vision_tx.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_05_raw_hold_match.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_05_raw_hold_validation.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
sift_src2_hover_test_05_raw_hold_vision_tx.csv,SIFT source set 2 / EKF entegrasyon denemesi,True,Sınırlılık ve entegrasyon denemesi; ana başarı sonucu değildir.
